iter	Passed	Remaining
650	867	465
651	868	463
652	869	462
653	870	460
654	871	459
655	872	457
656	873	456
657	874	454
658	875	452
659	876	451
660	877	450
661	878	448
662	879	447
663	880	445
664	881	444
665	882	442
666	883	441
667	885	439
668	886	438
669	887	437
670	888	435
671	889	434
672	890	432
673	892	431
674	894	430
675	895	429
676	897	428
677	898	426
678	899	425
679	900	423
680	901	422
681	903	421
682	904	419
683	905	418
684	906	416
685	909	416
686	911	415
687	913	414
688	914	412
689	915	411
690	916	409
691	918	408
692	920	407
693	921	406
694	923	405
695	924	403
696	925	402
697	926	401
698	928	399
699	929	398
700	930	396
701	931	395
702	932	394
703	933	392
704	935	391
705	936	389
706	937	388
707	938	387
708	940	385
709	941	384
710	942	382
711	943	381
712	944	380
713	945	378
714	946	377
715	948	376
716	949	374
717	950	373
718	951	371
719	953	370
720	954	369
721	956	368
722	957	366
723	960	366
724	962	365
725	963	363
726	964	362
727	965	360
728	968	359
729	970	358
730	971	357
731	972	356
732	973	354
733	974	353
734	976	351
735	977	350
736	978	349
737	979	347
738	981	346
739	982	345
740	983	343
741	984	342
742	985	341
743	987	339
744	988	338
745	989	336
746	990	335
747	991	334
748	992	332
749	993	331
750	995	329
751	996	328
752	997	327
753	999	326
754	1000	324
755	1001	323
756	1003	321
757	1004	320
758	1005	319
759	1007	318
760	1009	316
761	1010	315
762	1012	314
763	1013	313
764	1014	311
765	1015	310
766	1016	308
767	1018	307
768	1019	306
769	1020	304
770	1022	303
771	1023	302
772	1025	301
773	1029	300
774	1030	299
775	1031	297
776	1032	296
777	1033	294
778	1034	293
779	1035	292
780	1036	290
781	1038	289
782	1039	287
783	1039	286
784	1040	285
785	1042	283
786	1044	282
787	1045	281
788	1047	280
789	1048	278
790	1049	277
791	1050	275
792	1051	274
793	1052	273
794	1053	271
795	1054	270
796	1055	268
797	1056	267
798	1057	266
799	1058	264
800	1059	263
801	1060	261
802	1061	260
803	1063	259
804	1064	257
805	1065	256
806	1066	255
807	1067	253
808	1068	252
809	1069	250
810	1070	249
811	1071	248
812	1072	246
813	1073	245
814	1074	243
815	1075	242
816	1077	241
817	1078	239
818	1079	238
819	1080	237
820	1081	235
821	1082	234
822	1083	233
823	1085	231
824	1086	230
825	1087	229
826	1089	227
827	1090	226
828	1091	225
829	1092	223
830	1093	222
831	1095	221
832	1096	219
833	1097	218
834	1098	217
835	1099	215
836	1100	214
837	1102	213
838	1103	211
839	1104	210
840	1105	209
841	1106	207
842	1107	206
843	1109	204
844	1110	203
845	1111	202
846	1112	200
847	1113	199
848	1114	198
849	1115	196
850	1116	195
851	1118	194
852	1119	192
853	1120	191
854	1121	190
855	1122	188
856	1123	187
857	1124	186
858	1125	184
859	1126	183
860	1128	182
861	1129	180
862	1130	179
863	1132	178
864	1133	176
865	1139	176
866	1141	175
867	1142	173
868	1143	172
869	1144	171
870	1146	169
871	1148	168
872	1150	167
873	1151	165
874	1152	164
875	1154	163
876	1155	162
877	1156	160
878	1157	159
879	1158	158
880	1160	156
881	1161	155
882	1162	154
883	1163	152
884	1164	151
885	1165	149
886	1166	148
887	1167	147
888	1168	145
889	1169	144
890	1170	143
891	1171	141
892	1172	140
893	1173	139
894	1174	137
895	1175	136
896	1177	135
897	1178	133
898	1179	132
899	1180	131
900	1181	129
901	1182	128
902	1183	127
903	1184	125
904	1185	124
905	1186	123
906	1187	121
907	1188	120
908	1189	119
909	1190	117
910	1192	116
911	1193	115
912	1194	113
913	1195	112
914	1196	111
915	1197	109
916	1198	108
917	1199	107
918	1200	105
919	1201	104
920	1202	103
921	1203	101
922	1204	100
923	1206	99
924	1207	97
925	1208	96
926	1209	95
927	1210	93
928	1211	92
929	1212	91
930	1214	89
931	1215	88
932	1216	87
933	1217	86
934	1218	84
935	1219	83
936	1220	82
937	1221	80
938	1222	79
939	1223	78
940	1225	76
941	1226	75
942	1227	74
943	1228	72
944	1229	71
945	1230	70
946	1232	68
947	1233	67
948	1234	66
949	1235	65
950	1236	63
951	1238	62
952	1239	61
953	1240	59
954	1241	58
955	1242	57
956	1243	55
957	1244	54
958	1245	53
959	1246	51
960	1247	50
961	1248	49
962	1249	48
963	1251	46
964	1252	45
965	1253	44
966	1254	42
967	1255	41
968	1256	40
969	1257	38
970	1258	37
971	1259	36
972	1261	34
973	1262	33
974	1263	32
975	1264	31
976	1265	29
977	1266	28
978	1268	27
979	1269	25
980	1270	24
981	1271	23
982	1272	22
983	1273	20
984	1274	19
985	1275	18
986	1276	16
987	1277	15
988	1278	14
989	1279	12
990	1297	11
991	1299	10
992	1300	9
993	1301	7
994	1302	6
995	1304	5
996	1305	3
997	1306	2
998	1307	1
999	1308	0
